KeyParcelId,Additional Parcel Indexes,Parcel Address,,
R72 08408 0025,,W Second St,,
R72 08409 0012,,N Williams St,,
R72 08409 0013,,229 N Williams St,,
R72 08409 0023,,217 N Williams St,,
R72 08305 0039,,407-409 Broadway St,,
R72 08305 0040,,403 N Broadway St,,
R72 08305 0082,,313 Broadway St,,
R72 08305 0083,,309 Broadway St,,
R72 08305 0085,,303 Broadway St,,
R72 08404 0009,,222 Dakota St,,
R72 08405 0024,,1133-1135 W First St,,
R72 08405 0029,,N Williams St,,
R72 08409 0011,,N Williams St,,
R72 08409 0016,,30 Paisley St,,
R72 08405 0023,,1137 W First St,,
R72 08301 0084,,N Broadway St,,
R72 08404 0048,,N Williams St,,
R72 08408 0013,,128 N Broadway St,,
R72 08408 0014,,122 N Broadway St,,
R72 12105 0002,,921 Bridge St,,
R72 06607 0016,,33 Rockwood Ave,,
R72 12014 0006,,1434 Princeton Dr,,
R72 07103 0037,,115-117 Willowwood Dr,,
R72 02207 0024,,319 E Huffman Ave,,
R72 04411 0074,,1029-1031 E Huffman Ave,,
R72 10607 0113,,510 Harriet St,,
R72 06006 0012,,36 McOwen St,,
R72 01902 0017,,415 & 419 Burns Ave,,
R72 09502 0033,34,3262 McCall St,,
R72 07104B0043,,159 W Parkwood Dr,,
R72 06603 0001,,540-542 Grafton Ave,,
R72 15307 0047,,1325 Jordan Ave,,
R72 05301 0042,,524 Troy St,,
R72 16808 0033,,3924 Cain Ct,,
R72 06905 0025,,1021-1023 Salem Ave,,
R72 12711 0051,,143 Lorenz Ave,,
R72 07711 0002,,1408-1410 W Grand Ave,,
R72 12110 0011,,921 Bridge St,,
R72 08403 0003,2,901-907 & 911 W Third Street,,
R72 08208 0004,,316 Orchard Ave,,
R72 09309 0061,,44 Moss Ave,,
R72 12014 0012,,1451 Princeton Dr,,
R72 07201 0001,,1632 Salem Ave,,
R72 07809 0039,,213-215 Oxford Ave,,
R72 07809 0040,,211 Oxford Ave,,
R72 02410 0036,,1123 Wyoming St,,
R72 12311 0014,,3835 Necco Ave,,
R72 09503 0034,,408 Mulford Ave,,
R72 02409 0008,,1327 Wyoming St,,
R72 06210 0009,,135 Ernst Ave,,
R72 15815 0022,,3927 Prescott Ave,,
R72 12506 0034,,1913 Oakridge Dr,,
R72 05204 0126,,1401 Leonhard St,,
R72 12410 0112,,4416 Hoover Ave,,
R72 04410 0039,,24 Watts St,,
R72 04410 0040,,28 Watts St,,
R72 13216 0016,,3585 Roejack Dr,,
R72 07403 0033,,1044 W Grand Ave,,
R72 15307 0014,,414 Santa Cruz Ave,,
R72 05208 0048,,207 Alton Ave,,
R72 08803 0004,,1518 W Fifth St,,
R72 16210 0024,,3206 Forest Grove Ave,,
R72 05201 0026,,510 Maryland Ave,,
R72 05107 0045,,2030 Stapleton Ct,,
R72 05204 0076,,1329 Schaeffer St,,
R72 05207 0031,,125 Baltimore St,,
R72 05204 0048,,1228 Lamar St,,
R72 05407 0018,,243 Maryland Ave,,
R72 05209 0037,,180 Grove Ave,,
R72 05206 0045,,246 Alaska St,,
R72 05404 0015,,227 Deeds Ave,,
R72 05306 0017,,289 Air St,,
R72 05302 0034,,256 Air St,,
R72 05204 0100,,1329 Leonhard St,,
R72 07203 0032,,822 Princeton Dr,,
R72 16207 0064,,3415 Otterbein Ave,,
R72 03307 0048,,253 Medford St,,
R72 13211 0128,,803 Ernroe Dr,,
R72 11911 0001,,1701-1707 Harold Dr,,
R72 15407 0058,,719 Cosler Dr,,
R72 07803 0015,,608 Yale Ave,,
R72 16214 0058,57,1936 Kipling Dr,,
R72 11201 0035,36,2350 Rugby Rd,,
R72 06109 0022,,120 Indianola Ave,,
R72 13403 0017,18,2327 & 2333 Weaver St,,
R72 05204 0037,,1225 Lamar St,,
R72 15504 0091,,47 Strand Ave,,
R72 11107 0044,,129 Cliff St,,
R72 15914 0043,,4612 Owens Dr,,
R72 05210 0032,,223 Grove Ave,,
R72 10609 0002,,404 W Stewart St,,
R72 16908 0014,,2425 Vance Rd,,
R72 07107 0033,,80 W Norman Ave,,
R72 11703 0013,,532 W Fairview Ave,,
R72 11202 0055,,2351 Rustic Rd,,
R72 06310 0042,,84 Fernwood Ave,,
R72 06606 0021,,621 Grand Ave,,
R72 07010 0077,,225 Victor Ave,,
R72 02104 0106,,1424 McLain St,,
R72 12108 0011,,J H McGee Blvd,,
R72 07509 0052,,713 Easton St,,
R72 07509 0044,,707 Easton St,,
R72 07509 0006,47,720-722 Broadway St,,
R72 08307 0059,,1505 W Second St,,
R72 08404 0037,,1115-1117 W First St,,
R72 08404 0006,,Dakota St,,
R72 07403 0008,,931 N Broadway St,,
R72 07011 0008,,364 Fountain Ave,,
R72 06101 0026,,29 E Fairview Ave,,
R72 11501 0071,,2120-2122 Auburn Ave,,
R72 12012 0002,,1773 Academy Pl,,
R72 09602 0035,,443 Clifton Dr,,
R72 07308 0017,,26-28 Cambridge Ave,,
R72 05609 0023,,952 Milburn Ave,,
R72 06310 0011,,118 Knecht Dr,,
R72 13213 0084,,914 Erbe Ave,,
R72 01204 0007,43,1420 E Fourth St,,
R72 07405 0008,70*,400 Salem Ave,,
R72 05503 0029,,623 Willow St,,
R72 11705 0053,,2112 Catalpa Dr,,
R72 07306 0009,,118 Yale Ave,,
R72 12908 0024,23*,4553 Dayview Ave,,
R72 13401 0061,,2424 Weaver St,,
R72 09302 0027,0028,2512 & 2516 W. Third St.,,
R72 04504 0036,,2245 E Third St,,
R72 05901 0013,,625 Gruner Ave,,
R72 06002 0028,,810 Gruner Ave,,
R72 06006 0028,, 55 E Helena St,,
R72 06405 0003,0004,40 Shaw Ave,,
R72 06701 0023,,W Great Miami Blvd,,
R72 06701 0038,,19 W Great Miami Blvd,,
R72 06711 0015,,548 Forest Ave,,
R72 08110 0087,0088,143 Reisinger Ave,,
R72 08201 0019,,151 N Marion St,,
R72 08203 0061,0062,2325 W Third St,,
R72 08208 0035,,311 N Mathison St,,
R72 08208 0068,,35 Mason St,,
R72 08409 0005,,108 Paisley St,,
R72 09004 0013,,22 S Orchard Ave,,
R72 09004 0026,,41 S Mathison St,,
R72 09004 0033,,26 S Mathison St,,
R72 09105 0028,,352 Adelite Ave,,
R72 09105 0030,,344 Adelite Ave,,
R72 06701 0029,,W Great Miami Blvd,,
R72 02609 0021,,305 Hawker St,,
R72 09105 0026,,360 Adelite,,
R72 06710 0017,,345 Five Oaks,,
R72 07010 0045,,212 Victor,,
R72 00412 0017,,212 W Fifth,,
